gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
0.8474111387016672,"[(0, 2158)]",0.77,-0.14,-0.92,0.89,-0.08,-0.91,-0.04,1,20,6
-0.6805391982972685,"[(0, 50); (1, 469); (2, 1639)]",0.74,0,-0.87,0.86,-0.08,-0.9,-0.02,4,30,10
0,"[(1, 76); (2, 2082)]",0.85,0,-0.76,0.6,-0.21,-0.6,-0.01,6,20,6
0.7504576090812345,"[(0, 11); (2, 2147)]",0.64,-0.18,-1,0.66,-0.32,-0.87,-0.1,1,10,3
0,"[(1, 52); (2, 2106)]",0.8,-0.11,-0.99,0.78,-0.09,-0.79,-0.01,4,10,3
0.000932245477119546,"[(0, 2); (1, 36); (2, 2120)]",0.85,-0.09,-0.81,0.71,-0.29,-0.77,-0.02,4,30,10
-3.5332103582830787,"[(0, 200); (1, 1958)]",0.77,-0.14,-0.92,0.89,-0.08,-0.91,-0.04,1,20,6
0,"[(1, 2078); (2, 80)]",0.96,0,-1,0.68,-0.78,-0.6,-0.05,1,10,3
0,"[(2, 2158)]",0.6,-0.3,-1,0.6,0,-0.97,-0.1,1,10,3
-5.236422844980489,"[(0, 880); (1, 380); (2, 898)]",0.86,-0.05,-0.8200000000000001,0.93,-1,-1,-0.03,1,10,3
